imdb_id,source,rating
tt0268380,Metacritic,34.0
tt1080016,IMDb,6.9
tt1080016,Metacritic,50.0
tt0438097,IMDb,6.8
tt0438097,Metacritic,60.0
tt0119360,IMDb,6.4
tt0119360,Metacritic,85.0
tt3606756,IMDb,7.599999999999999
tt0367882,IMDb,6.1
tt0367882,Metacritic,65.0
tt0087469,IMDb,7.5
tt0087469,Metacritic,57.0
tt0141369,IMDb,4.2
tt0141369,Metacritic,36.0
tt1300854,IMDb,7.1
tt0085750,IMDb,3.7
tt0070239,IMDb,7.4
tt0070239,Metacritic,64.0
tt0870154,IMDb,6.6
tt0870154,Metacritic,50.0
tt0163025,IMDb,5.9
tt0163025,Metacritic,42.0
tt0478311,IMDb,6.9
tt0070849,IMDb,7.0
tt0070849,Metacritic,77.0
tt0093409,IMDb,7.599999999999999
tt0093409,Metacritic,68.0
tt0097733,IMDb,7.2
tt0119528,IMDb,6.9
tt0119528,Metacritic,76.0
tt7545266,IMDb,4.6
tt7545266,Metacritic,33.0
tt0081060,IMDb,6.5
tt0081060,Metacritic,45.0
tt0337978,IMDb,7.1
tt0337978,Metacritic,69.0
tt0079489,IMDb,6.2
tt0073317,IMDb,5.2
tt0097815,IMDb,7.2
tt0770828,IMDb,7.0
tt0770828,Metacritic,55.0
tt0079522,IMDb,7.9
tt5028340,IMDb,6.7
tt5028340,Metacritic,66.0
tt0212338,IMDb,7.0
tt0212338,Metacritic,73.0
tt2293640,IMDb,6.4
tt2293640,Metacritic,56.0
tt0181689,IMDb,7.599999999999999
tt0181689,Metacritic,80.0
tt2381249,IMDb,7.4
tt2381249,Metacritic,75.0
tt0079574,IMDb,6.3
tt0079574,Metacritic,66.0
tt0085970,IMDb,6.6
tt0085970,Metacritic,50.0
tt0110622,IMDb,6.5
tt0086006,IMDb,6.2
tt0086006,Metacritic,60.0
tt0125439,IMDb,7.1
tt0125439,Metacritic,68.0
tt0095776,IMDb,6.7
tt0327084,IMDb,6.7
tt0327084,Metacritic,67.0
tt0070510,IMDb,8.099999999999998
tt0070510,Metacritic,77.0
tt0098067,IMDb,7.0
tt0098067,Metacritic,82.0
tt0105112,IMDb,6.9
tt0213149,IMDb,6.2
tt0213149,Metacritic,44.0
tt0069080,IMDb,6.3
tt0325980,IMDb,8.0
tt0325980,Metacritic,63.0
tt2848292,IMDb,6.4
tt0087928,IMDb,6.7
tt0087928,Metacritic,16.0
tt0081353,IMDb,5.3
tt0081353,Metacritic,64.0
tt0093773,IMDb,7.8
tt0093773,Metacritic,45.0
tt5848272,IMDb,7.0
tt5848272,Metacritic,71.0
tt0095956,IMDb,5.8
tt0095956,Metacritic,36.0
tt0117438,IMDb,6.7
tt0117438,Metacritic,60.0
tt1677720,IMDb,7.4
tt0210945,IMDb,7.8
tt0210945,Metacritic,48.0
tt0088000,IMDb,6.6
tt0088000,Metacritic,44.0
tt0078163,IMDb,6.7
tt0078163,Metacritic,65.0
tt1318514,IMDb,7.5
tt1318514,Metacritic,68.0
tt0100502,IMDb,5.8
tt0358082,IMDb,6.3
tt0358082,Metacritic,64.0
tt0107985,IMDb,6.1
tt0107985,Metacritic,53.0
tt0257076,IMDb,6.0
tt0257076,Metacritic,45.0
tt1599348,IMDb,6.7
tt0120815,IMDb,8.599999999999998
tt0120815,Metacritic,91.0
tt0175142,IMDb,6.2
tt0114369,IMDb,8.599999999999998
tt9376612,IMDb,7.9
tt9376612,Metacritic,71.0
tt0091949,IMDb,6.7
tt0091949,Metacritic,50.0
tt0413267,IMDb,6.1
tt0413267,Metacritic,58.0
