title,metacritic_score
Caddyshack,
Friday the 13th,
Brubaker,
Little Darlings,
Dressed to Kill,74
Flash Gordon,
The Elephant Man,
Bronco Billy,
Caligula,
Seems Like Old Times,58
Superman,44
The Amityville Horror,33
Rocky 2,
Star Trek: The Motion Picture,48
Apocalypse Now,94
The Muppet Movie,74
The Jerk,
Moonraker,66
Alien,
10,76
The Deer Hunter,49
Love at First Bite,62
Escape from Alcatraz,76
Meatballs,66
The Electric Horseman,64
Manhattan,
Starting Over,64
The In-Laws,
All That Jazz,72
The Black Stallion,84
The Main Event,52
The Black Hole,52
The China Syndrome,81
1941,34
...And Justice For All,
Grease,
National Lampoon's Animal House,
Jaws 2,51
Heaven Can Wait,72
Every Which Way but Loose,41
Hooper,70
Convoy,
California Suite,
Up in Smoke,57
Superman,44
Foul Play,45
Revenge of the Pink Panther,65
Midnight Express,59
Coming Home,81
The End,
Star Wars Ep. IV: A New Hope,
House Calls,49
The Cheap Detective,
The Lord of the Rings,94
Invasion of the Body Snatchers,75
Damien: Omen II,45
An Unmarried Woman,79
Beyond and Back,
Magic,72
Same Time, Next Year,
Star Wars Ep. IV: A New Hope,
Close Encounters of the Third Kind,
Saturday Night Fever,77
Smokey and the Bandit,50
The Goodbye Girl,64
In Search of Noah's Ark,
Oh, God!,30
A Bridge Too Far,63
The Deep,68
The Spy Who Loved Me,55
Annie Hall,92
Semi-Tough,68
Pete's Dragon,71
The Gauntlet,59
The Turning Point,
Heroes,27
High Anxiety,55
Airport '77,
The Rescuers,74
Herbie Goes to Monte Carlo,38
Slap Shot,
Freaky Friday,70
Exorcist II: The Heretic,39
The Other Side of Midnight,
For the Love of Benji,46
Rocky,70
To Fly!,65
A Star is Born,88
King Kong,81
Silver Streak,
All the President's Men,84
The Omen,
The Enforcer,48
Midway,79
The Bad News Bears,65
Silent Movie,
The Pink Panther Strikes Again,60
Murder by Death,62
Marathon Man,64
Taxi Driver,94
The Outlaw Josey Wales,69
Carrie,85
Logan's Run,53
Network,95
Across the Great Divide,
The Pom Pom Girls,
Mother, Jugs & Speed,
The Missouri Breaks,65
Family Plot,79
Gator,41
Jaws,87
One Flew Over the Cuckoo's Nest,84
Shampoo,65
Dog Day Afternoon,86
The Return of the Pink Panther,61
Three Days of the Condor,63
Funny Lady,
The Other Side of the Mountain,
Tommy,46
The Apple Dumpling Gang,37
Rollerball,14
The Adventures of the Wilderness Family,
The Hindenburg,
Lucky Lady,
Snow White and the Seven Dwarfs,95
Love and Death,89
Barry Lyndon,89
The Great Waldo Pepper,
The Adventure of Sherlock Holmes' Smarter Brother,
Alice Doesn't Live Here Anymore,78
W.W. and the Dixie Dancekings,
Breakout,44
The Eiger Sanction,61
French Connection II,68
Race with the Devil,53
Blazing Saddles,73
Towering Inferno,69
The Trial of Billy Jack,
Young Frankenstein,
Earthquake,
